CustomerID,Age,Gender,Location,Annual_Income,Purchase_Frequency,Avg_Order_Value,Total_Annual_Spend,Top_Category,Preferred_Channel,Days_Since_Last_Purchase,Returns_Count,Satisfaction_Score,Loyalty_Score
CUST00197,54,Male,Chicago,85553,12,137.01,1644.12,Sports,Mobile App,84,4,2.7,4.7
CUST00198,41,Male,Chicago,70102,13,20.22,262.86,Sports,In-Store,56,1,2.7,4.5
CUST00199,31,Female,Phoenix,46639,10,95.5,955.0,Toys,Online,51,1,3.7,4.3
CUST00200,48,Female,San Antonio,36690,10,84.58,845.8,Sports,In-Store,28,0,3.7,4.4
CUST00201,18,Female,Los Angeles,41649,13,139.08,1808.04,Health,Online,1,5,2.8,5.5
CUST00202,36,Male,Philadelphia,44674,15,70.04,1050.6,Health,Online,1,2,4.3,5.5
CUST00203,49,Male,San Jose,64576,17,10.05,170.85,Health,Mobile App,8,4,3.9,5.4
CUST00204,57,Non-binary,Phoenix,101033,13,70.3,913.9,Health,Online,3,1,3.0,5.1
CUST00205,43,Female,San Diego,53041,13,331.5,4309.5,Automotive,In-Store,2,1,3.9,6.5
CUST00206,30,Female,Chicago,48032,8,24.92,199.36,Health,Online,43,0,4.0,3.6
CUST00207,38,Female,Los Angeles,21990,9,53.71,483.39,Toys,Online,65,1,3.4,3.8
CUST00208,42,Male,Los Angeles,44388,11,35.86,394.46,Groceries,Online,14,2,3.8,4.4
CUST00209,33,Female,Phoenix,34231,11,119.34,1312.74,Books,Mobile App,41,1,3.7,4.6
CUST00210,32,Female,San Diego,53142,9,206.14,1855.26,Clothing,Online,4,1,4.2,4.8
CUST00211,27,Male,San Antonio,41407,11,95.43,1049.73,Automotive,Mobile App,36,1,3.7,4.6
CUST00212,36,Male,Dallas,49531,13,43.44,564.72,Toys,Online,65,0,4.2,4.5
CUST00213,24,Male,Philadelphia,52036,10,45.42,454.2,Health,In-Store,4,1,3.8,4.3
CUST00214,48,Female,New York,99511,16,241.81,3868.96,Home & Garden,Online,7,2,3.4,6.8
CUST00215,44,Male,Phoenix,64137,11,18.45,202.95,Toys,Mobile App,30,2,4.2,4.2
CUST00216,34,Female,New York,25135,8,33.95,271.6,Health,In-Store,1,2,3.3,3.9
CUST00217,36,Female,Phoenix,33104,10,21.32,213.2,Automotive,Online,8,3,4.0,4.2
CUST00218,32,Male,Houston,48632,11,62.69,689.59,Clothing,Online,5,0,3.8,4.6
CUST00219,34,Male,Chicago,118096,10,108.62,1086.2,Toys,Mobile App,33,2,3.4,4.4
CUST00220,36,Male,Phoenix,62707,11,28.91,318.01,Books,Mobile App,26,3,3.5,4.3
CUST00221,25,Non-binary,Houston,30321,8,27.58,220.64,Toys,In-Store,154,1,3.3,2.9
CUST00222,25,Male,San Jose,55914,11,11.35,124.85,Automotive,In-Store,168,3,3.3,3.3
CUST00223,32,Male,Los Angeles,24301,12,80.33,963.96,Sports,In-Store,62,0,4.9,4.5
CUST00224,33,Female,Philadelphia,57186,15,61.12,916.8,Automotive,Online,96,3,3.0,4.8
CUST00225,27,Male,Phoenix,34215,15,14.95,224.25,Health,In-Store,20,5,4.9,5.0
CUST00226,51,Female,Chicago,43807,17,60.66,1031.22,Toys,In-Store,15,2,4.3,5.7
CUST00227,61,Male,Dallas,42925,14,50.05,700.7,Automotive,Online,11,2,3.3,5.1
CUST00228,31,Female,Houston,78522,8,108.63,869.04,Home & Garden,In-Store,66,2,4.1,3.8
CUST00229,28,Male,San Antonio,48377,11,58.34,641.74,Electronics,Online,3,2,3.4,4.6
CUST00230,38,Male,San Antonio,68509,10,184.66,1846.6,Books,Mobile App,44,0,4.0,4.7
CUST00231,36,Female,Chicago,33181,10,122.86,1228.6,Toys,Mobile App,96,2,3.3,4.1
CUST00232,19,Male,San Jose,45575,13,36.66,476.58,Beauty,Mobile App,61,2,3.9,4.5
CUST00233,30,Female,San Diego,54393,14,120.34,1684.76,Clothing,In-Store,42,2,4.0,5.3
CUST00234,29,Male,Chicago,79973,12,84.32,1011.84,Books,Mobile App,1,2,3.2,4.9
CUST00235,30,Female,Los Angeles,49437,9,36.56,329.04,Toys,In-Store,4,1,4.3,4.1
CUST00236,32,Male,San Jose,79293,11,87.65,964.15,Books,In-Store,3,2,3.6,4.7
CUST00237,55,Female,Dallas,81586,14,70.96,993.44,Books,Mobile App,9,0,4.1,5.2
CUST00238,45,Female,San Diego,95047,20,24.27,485.4,Automotive,Online,4,2,2.7,6.1
CUST00239,32,Male,Phoenix,108973,9,138.02,1242.18,Home & Garden,In-Store,9,2,3.5,4.5
CUST00240,42,Male,Los Angeles,29847,15,29.0,435.0,Clothing,Online,30,2,4.6,5.0
CUST00241,31,Female,New York,44822,7,112.01,784.07,Electronics,Online,1,0,3.7,4.0
CUST00242,35,Male,Philadelphia,28370,12,360.98,4331.76,Beauty,Online,1,2,4.1,6.4
CUST00243,23,Male,San Antonio,90479,7,106.8,747.6,Health,In-Store,6,0,4.3,3.9
CUST00244,39,Male,Chicago,114916,10,74.84,748.4,Clothing,In-Store,68,0,4.0,4.1
CUST00245,40,Male,Houston,56059,15,21.74,326.1,Toys,Mobile App,1,1,3.5,5.2
CUST00246,58,Male,San Diego,46204,12,97.12,1165.44,Sports,Online,2,1,3.9,5.0
CUST00247,33,Female,San Diego,41161,13,30.63,398.19,Sports,In-Store,46,2,3.8,4.6
CUST00248,28,Male,San Diego,24546,18,133.1,2395.8,Beauty,Mobile App,24,0,4.0,6.4
CUST00249,27,Male,San Antonio,154700,12,274.93,3299.16,Sports,Online,2,1,3.8,5.9
CUST00250,64,Male,San Antonio,20000,11,57.94,637.34,Toys,Online,7,0,3.4,4.6
CUST00251,43,Male,Philadelphia,60120,9,40.38,363.42,Health,Online,39,1,3.9,3.9
CUST00252,43,Female,New York,49539,15,235.81,3537.15,Books,Online,6,2,3.6,6.5
CUST00253,55,Female,New York,59610,12,27.79,333.48,Health,In-Store,11,2,4.0,4.6
CUST00254,32,Female,Phoenix,47269,12,51.89,622.68,Home & Garden,In-Store,15,2,3.3,4.7
CUST00255,30,Male,Houston,101388,11,18.05,198.55,Health,Online,51,0,4.5,4.1
CUST00256,18,Female,Chicago,80091,14,67.36,943.04,Clothing,Mobile App,6,0,3.5,5.2
CUST00257,33,Female,Phoenix,71501,20,266.0,5320.0,Toys,Online,13,2,3.0,8.1
CUST00258,35,Male,Chicago,81381,15,24.15,362.25,Clothing,Mobile App,21,1,3.9,5.1
CUST00259,33,Male,San Antonio,62575,6,67.21,403.26,Groceries,Online,32,2,3.7,3.4
CUST00260,50,Female,Philadelphia,73668,14,72.0,1008.0,Automotive,In-Store,8,1,4.4,5.3
CUST00261,42,Male,Chicago,37497,12,31.15,373.8,Sports,Mobile App,7,0,3.5,4.6
CUST00262,46,Female,Phoenix,26060,11,153.83,1692.13,Beauty,Mobile App,56,0,3.5,4.7
CUST00263,47,Male,Los Angeles,42687,15,225.25,3378.75,Groceries,In-Store,1,2,4.2,6.5
CUST00264,43,Male,San Antonio,105966,20,105.14,2102.8,Automotive,Online,6,2,3.0,6.8
CUST00265,61,Female,New York,271157,11,96.95,1066.45,Sports,In-Store,41,3,3.9,4.5
CUST00266,32,Male,Phoenix,71120,15,26.86,402.9,Health,Online,93,5,2.7,4.6
CUST00267,24,Female,Philadelphia,39620,15,54.28,814.2,Clothing,In-Store,44,0,4.0,5.1
CUST00268,19,Male,San Jose,40280,14,94.68,1325.52,Automotive,Online,1,3,3.6,5.4
CUST00269,40,Female,Los Angeles,105105,11,30.51,335.61,Toys,Mobile App,68,2,3.1,4.1
CUST00270,51,Male,San Antonio,142071,10,159.95,1599.5,Clothing,Online,14,1,3.0,4.8
CUST00271,31,Female,Phoenix,20000,14,59.79,837.06,Toys,Online,75,3,3.3,4.8
CUST00272,56,Male,Dallas,37341,7,46.76,327.32,Groceries,Online,204,0,3.2,2.5
CUST00273,22,Male,Dallas,51154,22,192.39,4232.58,Books,In-Store,20,2,3.5,8.0
